id,name,type
th_00001,Abortive therapy,Curative
th_00002,Abscopal effect,Curative
th_00003,Acai,Palliative
th_00004,Accelerated Experiential Dynamic Psychotherapy (AEDP),Palliative
th_00005,Dialectical Behavior Therapy (DBT),Palliative
th_00006,Diaphragm pacing,Preventative
th_00007,diathermy,Preventative
th_00008,Holotropic Breathwork,Preventative
th_00009,Homeopathy,Preventative
th_00010,hormonal therapy (oncology),Curative
th_00011,hormone replacement therapy,Curative
th_00012,Accelerated Resolution Therapy (ART),Curative
th_00013,Acceptance and Commitment Therapy (ACT),Curative
th_00014,Acne treatments,Palliative
th_00015,"acupressure (some scientific aspects, many prescientific)",Palliative
th_00016,diesel therapy (ironic name),Palliative
th_00017,Diet,Preventative
th_00018,Dietary Supplements,Preventative
th_00019,Hormone therapy,Preventative
th_00020,hormone therapy,Preventative
